version,language,gaming_frequency,imi1,imi2,imi3,imi4,imi5,imi6,imi7,imi_enjoyment,total_moves,moves_with_noun,moves_correct_form,grammatical_moves,proportion_of_valid_data,proportion_of_valid_data_providing_mechanic_actuations_hasnoun,proportion_of_valid_data_providing_mechanic_actuations_correctform
Tool,english,about-once-a-week,4,4,3,2,3,4,2,3.4285714285714284,20,19,19,19,0.95,1.0,1.0
Game,english,about-once-a-month,3,2,4,4,1,2,1,1.8571428571428572,20,20,20,17,0.85,0.85,0.85
Game,english,several-times-a-week,3,3,3,2,2,3,1,2.7142857142857144,20,19,19,18,0.9,0.9473684210526315,0.9473684210526315
Game,english,every-day,3,3,4,3,2,3,2,2.5714285714285716,20,20,20,0,0.0,0.0,0.0
Game,english,almost-never,5,4,1,1,4,4,4,4.428571428571429,20,19,19,2,0.1,0.10526315789473684,0.10526315789473684
Game,english,every-day,4,4,2,2,3,4,3,3.7142857142857144,20,19,19,13,0.65,0.6842105263157895,0.6842105263157895
Game,english,almost-never,4,4,2,2,3,4,2,3.5714285714285716,20,18,18,7,0.35,0.3888888888888889,0.3888888888888889
Tool,english,almost-never,3,3,2,1,1,2,1,2.7142857142857144,20,18,18,11,0.55,0.6111111111111112,0.6111111111111112
Tool,english,about-once-a-week,3,3,4,4,2,3,1,2.2857142857142856,20,19,18,18,0.9,0.9473684210526315,1.0
Tool,english,about-once-a-week,3,4,3,1,3,3,2,3.2857142857142856,20,19,19,17,0.85,0.8947368421052632,0.8947368421052632
Game,english,every-day,4,5,2,1,4,5,1,4.0,20,19,19,12,0.6,0.631578947368421,0.631578947368421
Tool,english,about-once-a-week,5,5,1,1,3,5,1,4.142857142857143,20,20,18,8,0.4,0.4,0.4444444444444444
Tool,english,several-times-a-week,2,2,5,4,1,1,1,1.4285714285714286,20,18,18,17,0.85,0.9444444444444444,0.9444444444444444
Game,english,several-times-a-week,5,5,1,1,5,5,4,4.857142857142857,20,20,20,12,0.6,0.6,0.6
Game,english,every-day,4,4,1,1,3,4,3,4.0,20,17,17,12,0.6,0.7058823529411765,0.7058823529411765
Game,english,almost-never,5,5,1,1,5,5,4,4.857142857142857,20,20,20,19,0.95,0.95,0.95
Tool,english,every-day,3,3,4,4,2,2,2,2.2857142857142856,20,19,19,19,0.95,1.0,1.0
Tool,english,several-times-a-week,4,4,2,2,3,4,3,3.7142857142857144,20,20,20,20,1.0,1.0,1.0
Tool,english,almost-never,4,4,1,1,3,3,3,3.857142857142857,20,19,18,9,0.45,0.47368421052631576,0.5
Game,english,almost-never,2,2,3,3,1,2,2,2.142857142857143,20,17,17,1,0.05,0.058823529411764705,0.058823529411764705
Tool,english,about-once-a-week,3,1,1,2,1,2,1,2.4285714285714284,20,18,18,14,0.7,0.7777777777777778,0.7777777777777778
Tool,english,every-day,4,5,4,2,3,4,3,3.5714285714285716,20,20,20,1,0.05,0.05,0.05
Game,english,about-once-a-month,5,5,1,1,5,5,5,5.0,20,19,17,0,0.0,0.0,0.0
Game,english,several-times-a-week,3,3,1,1,2,3,1,3.142857142857143,20,17,17,9,0.45,0.5294117647058824,0.5294117647058824
Tool,english,every-day,4,4,3,1,5,5,3,4.142857142857143,20,20,20,4,0.2,0.2,0.2
Game,english,several-times-a-week,1,2,3,2,2,2,2,2.2857142857142856,20,14,9,0,0.0,0.0,0.0
Tool,english,every-day,4,3,3,3,1,3,2,2.7142857142857144,20,20,20,20,1.0,1.0,1.0
Game,english,every-day,4,4,1,2,4,5,4,4.285714285714286,20,20,20,7,0.35,0.35,0.35
Tool,english,about-once-a-week,3,2,3,2,1,2,1,2.2857142857142856,20,18,18,17,0.85,0.9444444444444444,0.9444444444444444
Game,english,several-times-a-week,4,4,1,1,5,4,5,4.571428571428571,20,20,20,0,0.0,0.0,0.0
Game,english,every-day,4,4,2,1,3,4,2,3.7142857142857144,20,20,20,19,0.95,0.95,0.95
Game,english,several-times-a-week,4,5,1,1,4,5,3,4.428571428571429,20,20,20,20,1.0,1.0,1.0
Tool,english,several-times-a-week,2,5,1,1,1,5,5,4.0,20,19,18,15,0.75,0.7894736842105263,0.8333333333333334
Tool,english,about-once-a-week,4,3,5,1,2,3,1,2.7142857142857144,20,18,18,13,0.65,0.7222222222222222,0.7222222222222222
Game,english,several-times-a-week,3,3,3,2,2,4,2,3.0,20,18,17,15,0.75,0.8333333333333334,0.8823529411764706
Game,english,every-day,4,4,2,2,4,4,4,4.0,20,20,20,1,0.05,0.05,0.05
Tool,english,every-day,2,4,4,1,3,3,1,2.857142857142857,20,18,17,15,0.75,0.8333333333333334,0.8823529411764706
Game,english,several-times-a-week,2,2,4,4,2,2,1,1.8571428571428572,20,20,20,0,0.0,0.0,0.0
Tool,english,several-times-a-week,4,4,2,2,4,4,4,4.0,20,15,15,8,0.4,0.5333333333333333,0.5333333333333333
Tool,english,almost-never,4,4,1,4,4,4,2,3.5714285714285716,20,12,11,10,0.5,0.8333333333333334,0.9090909090909091
